altitude_km,density_kg_m3,density_H2only_kg_m3,nH2_m-3,temperature_K,lat_deg,lon_deg,radius_km,data_type,occultation,source_file
1748.97,1.7929740181776492e-11,1.7500455496423735e-11,5228000000000000.0,422.53,80.55,-76.57,56243.4,INV,ST101,EUV2017_216_16_10_45_ST101
1762.56,1.6038337788844255e-11,1.5654338203715685e-11,4676500000000000.0,437.22,80.55,-76.68,56257.09,INV,ST101,EUV2017_216_16_10_45_ST101
1776.16,1.2079253614046476e-11,1.1790044817129693e-11,3522100000000000.0,434.06,80.54,-76.79,56270.77,INV,ST101,EUV2017_216_16_10_45_ST101
1789.75,9.138748787754363e-12,8.919943336136252e-12,2664700000000000.0,417.63,80.54,-76.9,56284.46,INV,ST101,EUV2017_216_16_10_45_ST101
1803.35,8.130115163527035e-12,7.935459028275077e-12,2370600000000000.0,407.4,80.53,-77.0,56298.14,INV,ST101,EUV2017_216_16_10_45_ST101
1816.94,9.557498075473359e-12,9.328666675102078e-12,2786800000000000.0,431.12,80.53,-77.11,56311.83,INV,ST101,EUV2017_216_16_10_45_ST101
1830.52,7.603334732784713e-12,7.421291093261557e-12,2217000000000000.0,450.86,80.53,-77.22,56325.52,INV,ST101,EUV2017_216_16_10_45_ST101
1844.11,5.4259070278478546e-12,5.295996679589133e-12,1582100000000000.0,451.11,80.52,-77.32,56339.21,INV,ST101,EUV2017_216_16_10_45_ST101
1857.69,5.133708507670472e-12,5.010794153136321e-12,1496900000000000.0,443.66,80.52,-77.43,56352.9,INV,ST101,EUV2017_216_16_10_45_ST101
1871.28,7.240830230639767e-12,7.067465893190403e-12,2111300000000000.0,439.1,80.51,-77.54,56366.58,INV,ST101,EUV2017_216_16_10_45_ST101
1884.7,6.7785255297018425e-12,6.616229971056142e-12,1976500000000000.0,439.46,80.51,-77.64,56380.27,INV,ST101,EUV2017_216_16_10_45_ST101
1898.28,5.268490219442434e-12,5.142348839633921e-12,1536200000000000.0,440.08,80.51,-77.75,56393.96,INV,ST101,EUV2017_216_16_10_45_ST101
1911.85,6.227738178287668e-12,6.078629903587578e-12,1815900000000000.0,440.3,80.5,-77.86,56407.65,INV,ST101,EUV2017_216_16_10_45_ST101
1925.43,5.672835354758319e-12,5.5370128991267215e-12,1654100000000000.0,440.23,80.5,-77.96,56421.34,INV,ST101,EUV2017_216_16_10_45_ST101
1939.0,4.332906225259452e-12,4.2291651633859495e-12,1263400000000000.0,440.11,80.5,-78.07,56435.03,INV,ST101,EUV2017_216_16_10_45_ST101
1952.73,3.690549619282647e-12,3.6021882478388636e-12,1076100000000000.0,440.01,80.49,-78.18,56448.73,INV,ST101,EUV2017_216_16_10_45_ST101
1966.3,3.1049179372933297e-12,3.0305781138355517e-12,905340000000000.0,439.91,80.49,-78.28,56462.42,INV,ST101,EUV2017_216_16_10_45_ST101
1979.87,2.1162443528245984e-12,2.065575950386999e-12,617060000000000.0,439.84,80.48,-78.39,56476.11,INV,ST101,EUV2017_216_16_10_45_ST101
1993.44,1.978410332567216e-12,1.9310420356201147e-12,576870000000000.0,439.75,80.48,-78.5,56489.8,INV,ST101,EUV2017_216_16_10_45_ST101
2007.0,2.540583823500039e-12,2.479755628767356e-12,740790000000000.0,431.53,80.48,-78.6,56503.5,FM,ST101,EUV2017_216_16_10_45_ST101
2020.57,2.331586431251099e-12,2.2757621785087366e-12,679850000000000.0,431.84,80.47,-78.71,56517.19,FM,ST101,EUV2017_216_16_10_45_ST101
2034.13,2.1400454998906904e-12,2.0888072359924273e-12,624000000000000.0,432.14,80.47,-78.82,56530.88,FM,ST101,EUV2017_216_16_10_45_ST101
2047.69,1.9645206141785023e-12,1.9174848732711255e-12,572820000000000.0,432.43,80.46,-78.92,56544.58,FM,ST101,EUV2017_216_16_10_45_ST101
2061.25,1.803571358874223e-12,1.7603891623975282e-12,525890000000000.0,432.72,80.46,-79.03,56558.27,FM,ST101,EUV2017_216_16_10_45_ST101
2074.8,1.6560316835452205e-12,1.6163819712238195e-12,482870000000000.0,433.0,80.46,-79.13,56571.97,FM,ST101,EUV2017_216_16_10_45_ST101
2088.52,1.5191922357156716e-12,1.4828188162300729e-12,442970000000000.0,433.28,80.45,-79.24,56585.66,FM,ST101,EUV2017_216_16_10_45_ST101
2102.07,1.3952479338470026e-12,1.3618420638121782e-12,406830000000000.0,433.55,80.45,-79.35,56599.36,FM,ST101,EUV2017_216_16_10_45_ST101
2115.62,1.2815580166653097e-12,1.2508741794000805e-12,373680000000000.0,433.82,80.44,-79.45,56613.06,FM,ST101,EUV2017_216_16_10_45_ST101
2129.17,1.1772307985456384e-12,1.1490448266454497e-12,343260000000000.0,434.07,80.44,-79.56,56626.75,FM,ST101,EUV2017_216_16_10_45_ST101
2142.72,1.0815460718678335e-12,1.0556510415746344e-12,315360000000000.0,434.33,80.44,-79.67,56640.45,FM,ST101,EUV2017_216_16_10_45_ST101
2156.43,9.927547609829456e-13,9.6898562596591e-13,289470000000000.0,434.58,80.43,-79.77,56654.15,FM,ST101,EUV2017_216_16_10_45_ST101
